"name","wardnum","title","adminward","ER_A","ER_B","voters","male_voters","female_voters","total_polling_buildings","total_polling_stations","PB.building","PB.SRA","PB.road","PB.electrical","PB.drainage","PB.water","PB.total","areas"
"Ward 41",41,"Sopan Baug - Vikasnagar","Kondhwa Wanavdi","Prashant Mhaske (INC)","Surekha Kavade (NCP)",37164,19998,17166,14,44,800000,0,1200000,800000,1200000,0,4000000,"Bhim Nagar, Kavdewadi, Citadel Enclave, Dhavale Vasti, Kalashankar Nagar, Vikas Nagar, Anant Talkies, Udaybaug, Sopanbaug etc."
"Ward 42",42,"Lohiya Garden, Vaiduwadi","Hadapsar","Vijaya Kapre (NCP)","Anand Alkunte (NCP)",,,,,,1200000,400000,800000,800000,400000,400000,4000000,"Gosavi Vasti, Vaiduwadi, Ram Manohar Lohiya Garden, Vaibhav Talkies, Sasane Nagar, Hadapsar Gaonthan etc"
"Ward 43",43,"Sadhana Vidyalay","Hadapsar","Chetan Tupe (NCP)","Ranjana Pawar (NCP)",29308,15573,13735,16,33,400000,0,2000000,800000,800000,0,4000000,"Sadhana Highschool, Akkashvani, Saneguruji Hospital, Indraprasth, Hadapsar Bus Depot, Punawala Stud Farm, Hadapsar-Malwadi etc"
"Ward 44",44,"Gliding Centre","Hadapsar","Vaishali Bankar (NCP)","Vijay Deshmukh (SS)",37913,19939,17974,15,41,800000,0,1600000,800000,800000,0,4000000,"Pandit Jawaharlal Neharu Bhaji Market, Hadapsar Ward Office, Sane Guruji Bhawan, Bunter School, Gliding Centre, Buddha Vasti, Gondhalenagar, Satav Wadi etc."
"Ward 45",45,"Mohammadwadi","Hadapsar","Pramod Bhangire (SS)","Vijaya Wadkar (INC)",45100,24363,20737,19,50,400000,0,2080000,800000,320000,400000,4000000,"Kalepadal, Kale, Boratenagar, Nyati Estate, Undri, Mohammadwadi Gaonthan, Sayyadnagar, Tarvade Vasti, Krushnanagar, Desai Eye Hospital etc."
"Ward 46",46,"Wanavdi - Ramtekdi","Kondhwa Wanavdi","Satish Londhe (INC)","Kavita Shivarkar (INC)",33757,17765,15992,16,38,960000,400000,800000,640000,1200000,0,4000000,"A.I.P.T., Wanowrie Gaon, S.R.P. Group No. 1 and 2, Mahatma Phule Cultural Centre, Wanowrie Smashan Bhumi, Ramtekdi Industrial Area, Ramtekdi Slums etc."
"Ward 47",47,"Arunkumar Vaidya Stadium","Bhawani Peth","Sudhir Janjyot (INC)","Jilehuma Khan (INC)",29257,14627,14630,14,32,640000,640000,1120000,800000,800000,0,4000000,"Mahatma Phule Highschool, Saint Vinsent Highschool,Nishant Talkies, Old Motor Stand, Padmajee Police station, Dulha Dulhan Kabrastan, Nana Peth Police line, Bhavani Mata Temple, Rajewadi, Haraka Nagar, Harkadas Vidyamandir etc."
"Ward 48",48,"Palkhi Vithoba Mandir","Bhawani Peth","Rajashree Andekar (NCP)","Udaykant Andekar (NCP)",30608,15632,14976,13,33,1360000,800000,640000,0,1200000,0,4000000,"Alpana Talkies, ganesh Peth Fish market, Kamagar Ground, Palkhi Vithoba Temple, Doke Talim, Shri Swami Samarth Temple, Ramoshi Gate Police Station etc"
"Ward 49",49,"Dr. Kotnis Hospital","Kasba Vishrambagwada","Sunanda Gadale (INC)","Milind Kachi (INC)",33319,16332,16987,11,40,400000,400000,2800000,0,0,400000,4000000,"City Post, Vijayanand Talkies, Shri Agrasen Bhavan, Shukrawar Peth Police Station, Dr. Kotnis Hospital, Chatrapati Shivaji Technical School etc."
"Ward 50",50,"Mahatma Phule Mandai","Kasba Vishrambagwada","Rupali Patil (MNS)","Dilip Kalokhe (BJP)",31056,15236,15820,10,37,800000,0,2400000,400000,400000,0,4000000,"Gokhale Hall, Annabhau Sathe School, Sevasadan, Vishrambaug Wada, Datta Temple, Shrinath Talkies, Rameshwar Temple, Tulshibaug, Mahatma Phule Mandai, Raja Kelkar Museum, Maharana Pratap Garden, Pune Vidyarthi Gruh, Renuka Svarup Prashala, Bharat Natya Man"
